Training on: NVIDIA A100-SXM4-80GB
GPUs used: 1
Train: 90,000 | Val: 10,000 | Benchmark: 10,000
Classes: 200
Teacher loaded and frozen.
Teacher: 23.9M params
Student: 11.3M params
Compression: 2.12x fewer params

Distilling ResNet50 -> ResNet18 | T=4.0 | alpha=0.7 | beta=2.0

 Epoch       LR  TrainLoss       KD     Feat   ValLoss   ValAcc    Img/s   PeakGB   Time
    89  0.00003     0.8535   0.8520   0.0007    2.0134   69.48%     1503     3.45    60s
    90  0.00003     0.8523   0.8509   0.0007    2.0130   69.36%     1500     3.45    60s
    91  0.00002     0.8529   0.8515   0.0007    2.0176   69.46%     1483     3.45    61s
    92  0.00002     0.8520   0.8506   0.0007    2.0154   69.37%     1490     3.45    60s
    93  0.00001     0.8522   0.8507   0.0007    2.0161   69.48%     1504     3.45    60s
    94  0.00001     0.8526   0.8512   0.0007    2.0141   69.48%     1497     3.45    60s
    95  0.00001     0.8525   0.8511   0.0007    2.0162   69.46%     1505     3.45    60s
    96  0.00000     0.8515   0.8501   0.0007    2.0137   69.53%     1498     3.45    60s
    97  0.00000     0.8529   0.8515   0.0007    2.0149   69.52%     1491     3.45    60s
    98  0.00000     0.8520   0.8505   0.0007    2.0134   69.49%     1497     3.45    60s
    99  0.00000     0.8523   0.8509   0.0007    2.0130   69.52%     1495     3.45    60s
   100  0.00000     0.8528   0.8514   0.0007    2.0144   69.40%     1507     3.45    60s

Teacher benchmark acc : 82.19
Student best val loss  : 2.0134 at epoch 89
Student best val acc   : 69.48%
Benchmark loss         : 1.9787
Benchmark acc          : 70.70%
Total train time       : 1.70 h
Total wall time        : 1.78 h
Peak GPU memory        : 7.00 GB
Avg imgs/sec           : 1474
Checkpoint             : /data/pjiang18/SLP/ModelCompression/checkpoints/tinyimagenet_resnet18_student_best.pth
